Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
35;Justo;Baixo;Vender presencialmente;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";De 21 a 30;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;24;Nordeste;C
36;Justo;Baixo;Compartilhar link de oferta;3;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";De 41 a 50;Até R$ 724;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Feminino;20;Norte;E
37;Baixo;Baixo;Vender presencialmente;7;"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se gosta de viajar e com que frequência";De 21 a 30;Até R$ 1.448;Me sinto um pouco confortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;44;Sul;B
38;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Menos de 5;Até R$ 3.620;Me sinto um pouco desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Feminino;37;Sudeste;C
39;Baixo;Justo;Responder perguntas sobre os meus contatos;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência";De 41 a 50;Até R$ 7.240;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;57;Sul;B
40;Baixo;Baixo;Adicionar contatos;3;Se possui animais de estimação;Menos de 5;Não possuo;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;42;Sudeste;C
41;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 2.172;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;40;Nordeste;B
42;Baixo;Baixo;Vender presencialmente;10 (Instalaria com certeza);Eu não responderia à nenhuma destas questões;De 11 a 20;Até R$ 2.172;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;42;Centro-Oeste;D
43;Baixo;Baixo;O aplicativo enviar ofertas aos meus contatos;10 (Instalaria com certeza);Eu não responderia à nenhuma destas questões;Menos de 5;Não possuo;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;44;Sudeste;C
44;Justo;Baixo;Responder perguntas sobre os meus contatos;10.0;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 11 a 20;Não possuo;Não sei se sinto confortável ou desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;30;Norte;D
45;Baixo;Justo;Adicionar contatos;3;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";Menos de 5;Não possuo;Me sinto extremamente desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;26;Sul;E
46;Baixo;Justo;Outros: Rentabilidade baixa;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;20;Nordeste;E
47;Baixo;Baixo;Responder perguntas sobre os meus contatos;3;"Características do veículo (marca, ano e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se os filhos estudam em colégio particular ; Se gosta de ir em shows ; Se tem plano de saúde ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 5 a 11;Até R$ 2.172;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;37;Sudeste;C
48;Justo;Justo;Compartilhar link de oferta;7.0;"Características do veículo (marca, ano e etc) ; Se possui animais de estimação ; Aniversário e outras datas festivas (Casamento por exemplo) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";Menos de 5;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;17;Sul;D
49;Justo;Baixo;Adicionar contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;22;Nordeste;E
50;Baixo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se faz academia ou pratica esportes de modo geral ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;28;Sudeste;E
51;Justo;Justo;Adicionar contatos;8;"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral";De 11 a 20;Não possuo;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais";Feminino;22;Nordeste;C
52;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);6;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral";De 5 a 11;Não possuo;Me sinto um pouco confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;41;Sudeste;C
53;Justo;Baixo;Compartilhar link de oferta;7;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 724;Me sinto um pouco confortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;33;Sudeste;E
54;Baixo;Justo;Adicionar contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;27;Sul;C
55;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;7;Sobre a sua operadora de telefonia (Claro, Vivo e etc);Menos de 5;Não possuo;Me sinto extremamente desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;22;Sudeste;E
56;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;1;Eu não responderia à nenhuma destas questões;De 5 a 11;Até R$ 3.620;Me sinto extremamente desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Feminino;37;Sudeste;C
57;Baixo;Baixo;O aplicativo enviar ofertas aos meus contatos;9;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 5 a 11;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;43;Nordeste;C
58;Justo;Baixo;Responder perguntas sobre os meus contatos;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 41 a 50;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;30;Norte;C
59;Baixo;Justo;Outros: recompensa financeira;10 (Instalaria com certeza);"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Mais de 50;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;37;Centro-Oeste;E
60;Justo;Baixo;Responder perguntas sobre os meus contatos;8;Eu não responderia à nenhuma destas questões;Menos de 5;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;51;Sudeste;C
61;Baixo;Baixo;Responder perguntas sobre os meus contatos;5;"Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";Mais de 50;Não possuo;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;38;Nordeste;D
62;Justo;Baixo;Adicionar contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Sobre a profissão que exerce ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 1.448;Me sinto um pouco desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;37;Sudeste;D
63;Baixo;Baixo;Adicionar contatos;3;Eu não responderia à nenhuma destas questões;Menos de 5;Não possuo;Me sinto um pouco desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;46;Nordeste;E
64;Baixo;Justo;Adicionar contatos;8;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows";Mais de 50;Até R$ 3.620;Me sinto um pouco confortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;28;Sudeste;B
65;Baixo;Baixo;Vender presencialmente;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Até R$ 7.240;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;39;Sudeste;C
66;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;10.0;Se possui animais de estimação;Menos de 5;Não possuo;Me sinto extremamente desconfortável;Outros: N?O SEI, SINCERAMENTE;Feminino;22;Nordeste;E
67;Justo;Justo;Adicionar contatos;6;Eu não responderia à nenhuma destas questões;De 5 a 11;Até R$ 724;Me sinto um pouco desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Feminino;19;Centro-Oeste;C
68;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);8;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;25;Nordeste;D
69;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;8;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui smartphone? ";De 5 a 11;Até R$ 7.240;Não sei se sinto confortável ou desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;34;Sudeste;B
